City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,puerto madryn,-42.7692,-65.0385,14.14,32,16,11.59,AR,1693148389
164,port lincoln,-34.7333,135.8667,12.06,74,95,3.81,AU,1693148389
165,olyokminsk,60.3736,120.4264,14.88,69,0,1.03,RU,1693148389
166,antsiranana,-12.2787,49.2917,26.42,57,20,8.23,MG,1693148389
167,kapa'a,22.0752,-159.319,23.39,83,34,4.24,US,1693148389
168,richards bay,-28.783,32.0377,18.45,68,13,5.24,ZA,1693148389
169,raton,36.9034,-104.4391,18.87,70,16,1.04,US,1693148390
170,alvaraes,-3.2208,-64.8042,30.93,32,30,1.65,BR,1693148390
171,andovoranto,-18.95,49.1,21.77,82,2,2.0,MG,1693148390
172,dongola,19.1667,30.4833,42.42,10,100,3.28,SD,1693148390
173,nuuk,64.1835,-51.7216,6.6,81,100,12.52,GL,1693148390
174,toliara,-23.35,43.6667,22.25,79,3,10.44,MG,1693148390
175,katabu,-4.9333,122.5167,23.17,80,4,2.25,ID,1693148391
176,cill airne,52.05,-9.5167,17.03,94,75,3.6,IE,1693148391
177,ain defla,36.2641,1.9679,27.49,29,98,9.7,DZ,1693148391
178,magadan,59.5667,150.8,8.63,86,20,0.63,RU,1693148391
179,tiksi,71.6872,128.8694,10.52,96,56,1.46,RU,1693148112
180,barreirinha,-2.7933,-57.07,37.42,31,0,1.84,BR,1693148392
181,adrar,20.5022,-10.0711,42.01,9,5,3.38,MR,1693148392
182,mgandu,-5.95,34.1333,27.72,22,0,4.77,TZ,1693148392
183,boves,44.332,7.5514,20.66,88,100,1.43,IT,1693148393
184,kavalerovo,44.2661,135.0572,16.65,96,100,1.57,RU,1693148393
185,sarnia,42.9787,-82.4041,20.07,68,0,4.12,CA,1693148393
186,sligo,54.2697,-8.4694,16.45,67,100,9.26,IE,1693148393
187,vadso,70.0744,29.7487,14.09,67,20,3.09,NO,1693148393
188,roccella ionica,38.322,16.4009,31.26,52,0,4.68,IT,1693148393
189,codrington,-38.2667,141.9667,11.36,85,100,1.92,AU,1693148394
190,la manga del mar menor,37.6413,-0.7165,33.0,23,20,10.29,ES,1693148394
191,puerto ayora,-0.7393,-90.3518,26.98,90,74,2.68,EC,1693148394
192,glace bay,46.1969,-59.957,20.05,97,100,7.2,CA,1693148178
193,wajir,1.7471,40.0573,34.98,29,20,5.14,KE,1693148394
194,naze,28.3667,129.4833,26.51,82,23,5.75,JP,1693148395
195,rabo de peixe,37.8,-25.5833,24.73,65,20,7.2,PT,1693148395
196,brandon,27.9378,-82.2859,32.36,74,0,3.6,US,1693148395
197,tirur,10.9,75.9167,26.55,87,100,2.45,IN,1693148395
198,shilin,24.8188,103.3324,17.72,93,100,1.72,CN,1693148395
